process	seq.unit.id	sample.name	genome	dna.rna	cell.compartment	cell.cardinality	dna.barcode.group	dna.barcode	rna.barcode.group	rna.barcode	machine	flowcell	lane	lid	lib	method	concentration	whose	cell.type	area	layer
0	CAP0124	AP010_RPI10_14	mm9	r	whole.cell	1			N10B	14	hiseq	AC3L7GACXX	1	lib290307_1	lib290307_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0125	AP010_RPI10_15	mm9	r	whole.cell	1			N10B	15	hiseq	AC3L7GACXX	1	lib290307_1	lib290307_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0126	AP010_RPI10_16	mm9	r	whole.cell	1			N10B	16	hiseq	AC3L7GACXX	1	lib290307_1	lib290307_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0127	AP010_RPI11_1	mm9	r	whole.cell	1			N10B	1	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0128	AP010_RPI11_2	mm9	r	whole.cell	1			N10B	2	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0129	AP010_RPI11_3	mm9	r	whole.cell	1			N10B	3	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0130	AP010_RPI11_4	mm9	r	whole.cell	1			N10B	4	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0131	AP010_RPI11_5	mm9	r	whole.cell	1			N10B	5	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0132	AP010_RPI11_6	mm9	r	whole.cell	1			N10B	6	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0133	AP010_RPI11_7	mm9	r	whole.cell	1			N10B	7	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0134	AP010_RPI11_8	mm9	r	whole.cell	1			N10B	8	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0135	AP010_RPI11_9	mm9	r	whole.cell	1			N10B	9	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0136	AP010_RPI11_10	mm9	r	whole.cell	1			N10B	10	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0137	AP010_RPI11_11	mm9	r	whole.cell	1			N10B	11	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0138	AP010_RPI11_12	mm9	r	whole.cell	1			N10B	12	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0139	AP010_RPI11_13	mm9	r	whole.cell	1			N10B	13	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0140	AP010_RPI11_14	mm9	r	whole.cell	1			N10B	14	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0141	AP010_RPI11_15	mm9	r	whole.cell	1			N10B	15	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0142	AP010_RPI11_16	mm9	r	whole.cell	1			N10B	16	hiseq	AC3L7GACXX	2	lib290307_2	lib290307_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0143	AP011_RPI10_1	mm9	r	whole.cell	1			N10B	1	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0144	AP011_RPI10_2	mm9	r	whole.cell	1			N10B	2	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0145	AP011_RPI10_3	mm9	r	whole.cell	1			N10B	3	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0146	AP011_RPI10_4	mm9	r	whole.cell	1			N10B	4	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0147	AP011_RPI10_5	mm9	r	whole.cell	1			N10B	5	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0148	AP011_RPI10_6	mm9	r	whole.cell	1			N10B	6	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0149	AP011_RPI10_7	mm9	r	whole.cell	1			N10B	7	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0150	AP011_RPI10_8	mm9	r	whole.cell	1			N10B	8	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0151	AP011_RPI10_9	mm9	r	whole.cell	1			N10B	9	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0152	AP011_RPI10_10	mm9	r	whole.cell	1			N10B	10	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0153	AP011_RPI10_11	mm9	r	whole.cell	1			N10B	11	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0154	AP011_RPI10_12	mm9	r	whole.cell	1			N10B	12	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0155	AP011_RPI10_13	mm9	r	whole.cell	1			N10B	13	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0156	AP011_RPI10_14	mm9	r	whole.cell	1			N10B	14	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0157	AP011_RPI10_15	mm9	r	whole.cell	1			N10B	15	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0158	AP011_RPI10_16	mm9	r	whole.cell	1			N10B	16	hiseq	AC3L7GACXX	3	lib290308_1	lib290308_1	x	x	x	ChC	motor_cortex	2_3
0	CAP0159	AP011_RPI11_1	mm9	r	whole.cell	1			N10B	1	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0160	AP011_RPI11_2	mm9	r	whole.cell	1			N10B	2	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0161	AP011_RPI11_3	mm9	r	whole.cell	1			N10B	3	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0162	AP011_RPI11_4	mm9	r	whole.cell	1			N10B	4	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0163	AP011_RPI11_5	mm9	r	whole.cell	1			N10B	5	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0164	AP011_RPI11_6	mm9	r	whole.cell	1			N10B	6	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0165	AP011_RPI11_7	mm9	r	whole.cell	1			N10B	7	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0166	AP011_RPI11_8	mm9	r	whole.cell	1			N10B	8	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0167	AP011_RPI11_9	mm9	r	whole.cell	1			N10B	9	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0168	AP011_RPI11_10	mm9	r	whole.cell	1			N10B	10	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0169	AP011_RPI11_11	mm9	r	whole.cell	1			N10B	11	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0170	AP011_RPI11_12	mm9	r	whole.cell	1			N10B	12	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0171	AP011_RPI11_13	mm9	r	whole.cell	1			N10B	13	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0172	AP011_RPI11_14	mm9	r	whole.cell	1			N10B	14	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0173	AP011_RPI11_15	mm9	r	whole.cell	1			N10B	15	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0174	AP011_RPI11_16	mm9	r	whole.cell	1			N10B	16	hiseq	AC3L7GACXX	4	lib290308_2	lib290308_2	x	x	x	ChC	cingulate_cortex	2_3
0	CAP0175	AP012_RPI1_01	mm9	r	whole.cell	1			N10B	1	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0176	AP012_RPI1_02	mm9	r	whole.cell	1			N10B	2	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0177	AP012_RPI1_03	mm9	r	whole.cell	1			N10B	3	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0178	AP012_RPI1_04	mm9	r	whole.cell	1			N10B	4	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0179	AP012_RPI1_05	mm9	r	whole.cell	1			N10B	5	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0180	AP012_RPI1_06	mm9	r	whole.cell	1			N10B	6	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0181	AP012_RPI1_07	mm9	r	whole.cell	1			N10B	7	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0182	AP012_RPI1_08	mm9	r	whole.cell	1			N10B	8	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0183	AP012_RPI1_09	mm9	r	whole.cell	1			N10B	9	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0184	AP012_RPI1_10	mm9	r	whole.cell	1			N10B	10	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0185	AP012_RPI1_11	mm9	r	whole.cell	1			N10B	11	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0186	AP012_RPI1_12	mm9	r	whole.cell	1			N10B	12	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0187	AP012_RPI1_13	mm9	r	whole.cell	1			N10B	13	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0188	AP012_RPI1_14	mm9	r	whole.cell	1			N10B	14	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0189	AP012_RPI1_15	mm9	r	whole.cell	1			N10B	15	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0190	AP012_RPI1_16	mm9	r	whole.cell	1			N10B	16	hiseq	BC49TLACXX	1	lib292108_1	lib292108_1	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0191	AP012_RPI2_01	mm9	r	whole.cell	1			N10B	1	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0192	AP012_RPI2_02	mm9	r	whole.cell	1			N10B	2	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0193	AP012_RPI2_03	mm9	r	whole.cell	1			N10B	3	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0194	AP012_RPI2_04	mm9	r	whole.cell	1			N10B	4	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0195	AP012_RPI2_05	mm9	r	whole.cell	1			N10B	5	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0196	AP012_RPI2_06	mm9	r	whole.cell	1			N10B	6	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0197	AP012_RPI2_07	mm9	r	whole.cell	1			N10B	7	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0198	AP012_RPI2_08	mm9	r	whole.cell	1			N10B	8	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0199	AP012_RPI2_09	mm9	r	whole.cell	1			N10B	9	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0200	AP012_RPI2_10	mm9	r	whole.cell	1			N10B	10	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0201	AP012_RPI2_11	mm9	r	whole.cell	1			N10B	11	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0202	AP012_RPI2_12	mm9	r	whole.cell	1			N10B	12	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0203	AP012_RPI2_13	mm9	r	whole.cell	1			N10B	13	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0204	AP012_RPI2_14	mm9	r	whole.cell	1			N10B	14	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0205	AP012_RPI2_15	mm9	r	whole.cell	1			N10B	15	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0206	AP012_RPI2_16	mm9	r	whole.cell	1			N10B	16	hiseq	BC49TLACXX	2	lib292108_2	lib292108_2	x	x	x	Pv	cingulate_cortex	2_3
0	CAP0207	AP013_RPI3_01	mm9	r	whole.cell	1			N10B	1	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0208	AP013_RPI3_02	mm9	r	whole.cell	1			N10B	2	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0209	AP013_RPI3_03	mm9	r	whole.cell	1			N10B	3	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0210	AP013_RPI3_04	mm9	r	whole.cell	1			N10B	4	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0211	AP013_RPI3_05	mm9	r	whole.cell	1			N10B	5	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0212	AP013_RPI3_06	mm9	r	whole.cell	1			N10B	6	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0213	AP013_RPI3_07	mm9	r	whole.cell	1			N10B	7	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0214	AP013_RPI3_08	mm9	r	whole.cell	1			N10B	8	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0215	AP013_RPI3_09	mm9	r	whole.cell	1			N10B	9	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0216	AP013_RPI3_10	mm9	r	whole.cell	1			N10B	10	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0217	AP013_RPI3_11	mm9	r	whole.cell	1			N10B	11	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0218	AP013_RPI3_12	mm9	r	whole.cell	1			N10B	12	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0219	AP013_RPI3_13	mm9	r	whole.cell	1			N10B	13	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0220	AP013_RPI3_14	mm9	r	whole.cell	1			N10B	14	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0221	AP013_RPI3_15	mm9	r	whole.cell	1			N10B	15	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0222	AP013_RPI3_16	mm9	r	whole.cell	1			N10B	16	hiseq	BC49TLACXX	3	lib292109_1	lib292109_1	x	x	x	Pv	motor_cortex	2_3
0	CAP0223	AP013_RPI4_01	mm9	r	whole.cell	1			N10B	1	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0224	AP013_RPI4_02	mm9	r	whole.cell	1			N10B	2	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0225	AP013_RPI4_03	mm9	r	whole.cell	1			N10B	3	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0226	AP013_RPI4_04	mm9	r	whole.cell	1			N10B	4	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0227	AP013_RPI4_05	mm9	r	whole.cell	1			N10B	5	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0228	AP013_RPI4_06	mm9	r	whole.cell	1			N10B	6	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0229	AP013_RPI4_07	mm9	r	whole.cell	1			N10B	7	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0230	AP013_RPI4_08	mm9	r	whole.cell	1			N10B	8	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0231	AP013_RPI4_09	mm9	r	whole.cell	1			N10B	9	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0232	AP013_RPI4_10	mm9	r	whole.cell	1			N10B	10	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0233	AP013_RPI4_11	mm9	r	whole.cell	1			N10B	11	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0234	AP013_RPI4_12	mm9	r	whole.cell	1			N10B	12	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0235	AP013_RPI4_13	mm9	r	whole.cell	1			N10B	13	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0236	AP013_RPI4_14	mm9	r	whole.cell	1			N10B	14	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0237	AP013_RPI4_15	mm9	r	whole.cell	1			N10B	15	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
0	CAP0238	AP013_RPI4_16	mm9	r	whole.cell	1			N10B	16	hiseq	BC49TLACXX	4	lib292109_2	lib292109_2	x	x	x	Pv	motor_cortex	2_3
