Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
DP-CD3hi-WT1 [RNA-seq]	GSM661225	GSE20898	GPL9250	SRA	Double-positive CD3hi cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Double-positive CD3hi cells"	total RNA
DP-CD3hi-WT2 [RNA-seq]	GSM661226	GSE20898	GPL9250	SRA	Double-positive CD3hi cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Double-positive CD3hi cells"	total RNA
DP-CD3lo-Gata3-KO1 [RNA-seq]	GSM661227	GSE20898	GPL9250	SRA	Double-positive CD3lo cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Double-positive CD3lo cells"	total RNA
DP-CD3lo-Gata3-KO2 [RNA-seq]	GSM661228	GSE20898	GPL9250	SRA	Double-positive CD3lo cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Double-positive CD3lo cells"	total RNA
DP-CD3lo-WT1 [RNA-seq]	GSM661229	GSE20898	GPL9250	SRA	Double-positive CD3lo cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Double-positive CD3lo cells"	total RNA
DP-CD3lo-WT2 [RNA-seq]	GSM661230	GSE20898	GPL9250	SRA	Double-positive CD3lo cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Double-positive CD3lo cells"	total RNA
iTreg-Gata3-KO-2 [RNA-seq]	GSM661231	GSE20898	GPL9250	SRA	Inducible regulatory T cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Inducible regulatory T cells"	total RNA
Itreg-WT-2 [RNA-seq]	GSM661232	GSE20898	GPL9250	SRA	Inducible regulatory T cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Inducible regulatory T cells"	total RNA
Th17-Gata3-KO-2 [RNA-seq]	GSM661233	GSE20898	GPL9250	SRA	T-helper 17 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 17 cells"	total RNA
Th17-WT-2 [RNA-seq]	GSM661234	GSE20898	GPL9250	SRA	T-helper 17 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 17 cells"	total RNA
Th1-Gata3-KO-2 [RNA-seq]	GSM661235	GSE20898	GPL9250	SRA	T-helper 1 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 1 cells"	total RNA
Th1-WT-2 [RNA-seq]	GSM661236	GSE20898	GPL9250	SRA	T-helper 1 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 1 cells"	total RNA
Th2-Gata3-KO-2 [RNA-seq]	GSM661237	GSE20898	GPL9250	SRA	T-helper 2 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 2 cells"	total RNA
Th2-WT-2 [RNA-seq]	GSM661238	GSE20898	GPL9250	SRA	T-helper 2 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 2 cells"	total RNA
WT_ES_rep1	GSM546445	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
WT_ES_rep2	GSM546446	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
WT_ES_rep3	GSM546447	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
WT_ES_rep4	GSM546448	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
WT_ES_rep5	GSM546449	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
WT_ES_rep6	GSM546450	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: WT;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep1	GSM546451	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep2	GSM546452	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep3	GSM546453	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep4	GSM546454	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep5	GSM546455	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep6	GSM546456	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep7	GSM546457	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep8	GSM546458	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep9	GSM546459	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
Ago2ko_ES_rep10	GSM546460	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Ago2 -/-;	cell type: embryonic stem cells"	total RNA
DroshaflflES_NoTam_rep1	GSM546461	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Drosha flox/flox; CreER;	treatment: no tamoxifen;	cell type: embryonic stem cells"	total RNA
DroshaflflES_NoTam_rep2	GSM546462	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Drosha flox/flox; CreER;	treatment: no tamoxifen;	cell type: embryonic stem cells"	total RNA
DroshaflflES_Tam_rep1	GSM546463	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Drosha flox/flox; CreER;	treatment: with tamoxifen;	cell type: embryonic stem cells"	total RNA
DroshaflflES_Tam_rep2	GSM546464	GSE21975	GPL9250	SRA	embryonic stem cells	Mus musculus	"genotype: Drosha flox/flox; CreER;	treatment: with tamoxifen;	cell type: embryonic stem cells"	total RNA
E15_CastEiJ_RNASeq_techrep1	GSM563763	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: CastEiJ;	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_C57BL/6J_RNASeq_techrep1	GSM563764	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: C57BL/6J;	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_CastEiJ_RNASeq_techrep2	GSM563765	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: CastEiJ;	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_C57BL/6J_RNASeq_techrep2	GSM563766	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: C57BL/6J;	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_CastEiJ_RNASeq_techrep1	GSM563767	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: CastEiJ;	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_C57BL/6J_RNASeq_techrep1	GSM563768	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: C57BL/6J;	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_CastEiJ_RNASeq_techrep1	GSM563769	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: CastEiJ;	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_C57BL/6J_RNASeq_techrep1	GSM563770	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: C57BL/6J;	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1i_RNASeq_techrep1	GSM563771	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1r_RNASeq_techrep1	GSM563772	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1i_Male_RNASeq_techrep1	GSM563773	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1r_Male_RNASeq_techrep1	GSM563774	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1i_Male_RNASeq_techrep1	GSM563775	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1r_Male_RNASeq_techrep1	GSM563776	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1i_Female_RNASeq_techrep1	GSM563777	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1r_Female_RNASeq_techrep1	GSM563778	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1i_Female_RNASeq_techrep1	GSM563779	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1r_Female_RNASeq_techrep1	GSM563780	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1i_RNASeq_techrep2	GSM563781	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1r_RNASeq_techrep2	GSM563782	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1i_Male_RNASeq_techrep2	GSM563783	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1r_Male_RNASeq_techrep2	GSM563784	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1i_Male_RNASeq_techrep2	GSM563785	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1r_Male_RNASeq_techrep2	GSM563786	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1i_Female_RNASeq_techrep2	GSM563787	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
POA_F1r_Female_RNASeq_techrep2	GSM563788	GSE22131	GPL9250	SRA	adult (5 week old) preoptic area	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: preoptic area;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1i_Female_RNASeq_techrep2	GSM563789	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
PFC_F1r_Female_RNASeq_techrep2	GSM563790	GSE22131	GPL9250	SRA	adult (5 week old) medial prefrontal cortex	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: adult;	age: 5 weeks old;	tissue: brain;	brain region: medial prefrontal cortex;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1i_RNASeq_techrep3	GSM563791	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1r_RNASeq_techrep3	GSM563792	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1i_RNASeq_techrep4	GSM563793	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid initial cross (F1i) Hybrid [Mother: CastEiJ, Father: C57BL6J];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
E15_F1r_RNASeq_techrep4	GSM563794	GSE22131	GPL9250	SRA	embryonic day 15 whole brain	Mus musculus	"strain: F1 hybrid reciprocal cross (F1i) Hybrid [Mother: C57BL6J, Father: CastEiJ];	developmental stage: embryo;	age: day 15;	tissue: brain;	brain region: whole brain;	data type: transcriptome single nucleotide polymorphisms read counts"	total RNA
[E-MTAB-599] c57xdba_Heart1	GSM759583	GSE30617	GPL9250	SRA	c57xdba_Heart1 149873	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Heart2	GSM759584	GSE30617	GPL9250	SRA	c57xdba_Heart2 149874	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Heart3	GSM759585	GSE30617	GPL9250	SRA	c57xdba_Heart3 149875	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Heart4	GSM759586	GSE30617	GPL9250	SRA	c57xdba_Heart4 392846	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Heart5	GSM759587	GSE30617	GPL9250	SRA	c57xdba_Heart5 149877	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Heart6	GSM759588	GSE30617	GPL9250	SRA	c57xdba_Heart6 149878	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: heart;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus1	GSM759589	GSE30617	GPL9250	SRA	c57xdba_Hippocampus1 237731	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus2	GSM759590	GSE30617	GPL9250	SRA	c57xdba_Hippocampus2 237732	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus3	GSM759591	GSE30617	GPL9250	SRA	c57xdba_Hippocampus3 237733	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus4	GSM759592	GSE30617	GPL9250	SRA	c57xdba_Hippocampus4 237734	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus5	GSM759593	GSE30617	GPL9250	SRA	c57xdba_Hippocampus5 237735	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Hippocampus6	GSM759594	GSE30617	GPL9250	SRA	c57xdba_Hippocampus6 237736	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: hippocampus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver1	GSM759595	GSE30617	GPL9250	SRA	c57xdba_Liver1 139639	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver2	GSM759596	GSE30617	GPL9250	SRA	c57xdba_Liver2 139640	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver3	GSM759597	GSE30617	GPL9250	SRA	c57xdba_Liver3 139641	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver4	GSM759598	GSE30617	GPL9250	SRA	c57xdba_Liver4 139642	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver5	GSM759599	GSE30617	GPL9250	SRA	c57xdba_Liver5 139643	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Liver6	GSM759600	GSE30617	GPL9250	SRA	c57xdba_Liver6 139644	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: liver;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung1	GSM759601	GSE30617	GPL9250	SRA	c57xdba_Lung1 231595	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung2	GSM759602	GSE30617	GPL9250	SRA	c57xdba_Lung2 231596	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung3	GSM759603	GSE30617	GPL9250	SRA	c57xdba_Lung3 231597	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung4	GSM759604	GSE30617	GPL9250	SRA	c57xdba_Lung4 231598	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung5	GSM759605	GSE30617	GPL9250	SRA	c57xdba_Lung5 231599	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Lung6	GSM759606	GSE30617	GPL9250	SRA	c57xdba_Lung6 231600	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: lung;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Spleen1	GSM759607	GSE30617	GPL9250	SRA	c57xdba_Spleen1 140968	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Spleen2	GSM759608	GSE30617	GPL9250	SRA	c57xdba_Spleen2 140969	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
